Target,#Threads,#ThreadBlks,ExecTime
host,1,1,12.543
device,32,1,34.0417
device,32,2,17.0726
device,32,4,8.57156
device,32,8,4.33375
device,32,16,2.26391
device,32,32,1.5
device,32,64,1.53802
device,32,128,1.5013
device,32,256,1.43245
device,32,512,1.41573
device,64,1,18.7812
device,64,2,8.5451
device,64,4,4.33771
device,64,8,2.26896
device,64,16,1.50641
device,64,32,1.45667
device,64,64,1.3901
device,64,128,1.32969
device,64,256,1.30687
device,64,512,1.30411
device,128,1,8.54516
device,128,2,4.33443
device,128,4,2.27385
device,128,8,1.40109
device,128,16,1.40073
device,128,32,1.38375
device,128,64,1.32927
device,128,128,1.30531
device,128,256,1.30281
device,128,512,1.32036
device,256,1,4.3524
device,256,2,2.27969
device,256,4,1.3951
device,256,8,1.30964
device,256,16,1.35766
device,256,32,1.30495
device,256,64,1.29953
device,256,128,1.29505
device,256,256,1.31713
device,256,512,1.52693
device,512,1,2.33864
device,512,2,1.34307
device,512,4,1.30276
device,512,8,1.33812
device,512,16,1.28729
device,512,32,1.29
device,512,64,1.2887
device,512,128,1.31276
device,512,256,1.5274
device,512,512,1.85115
device,1024,1,1.38458
device,1024,2,1.31734
device,1024,4,1.28776
device,1024,8,1.2826
device,1024,16,1.28396
device,1024,32,1.29443
device,1024,64,1.3251
device,1024,128,1.5476
device,1024,256,1.8987
device,1024,512,2.54286
